domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
libertyreserve,legit,26.571428571428573,3960.785714285714,502.2307692307692,41.583333333333336,10.545454545454545,3.8,14.0,0.5555555555555556,0.0
beepjob,legit,1.2857142857142858,2744.1428571428573,86.33333333333333,3.6,0.0,0.0,7.0,0.75,0.0
grupfoni,legit,0.0,2838.625,252.71428571428572,5.0,0.0,0.0,8.0,0.6,0.0
pba-online,legit,31.2,3246.5,390.1111111111111,30.125,4.285714285714286,0.6666666666666666,10.0,0.6666666666666666,0.0
mothercare,legit,40.8,3840.4,463.22222222222223,43.625,11.0,2.6666666666666665,10.0,0.6666666666666666,0.0
1pezyy41665ddh1sq97o5gjz9dv,dga,0.0,1074.037037037037,15.192307692307692,0.0,0.0,0.0,27.0,0.08,0.4074074074074074
univ-poitiers,legit,14.76923076923077,3429.6153846153848,364.5,43.90909090909091,3.4,0.0,13.0,0.8571428571428571,0.0
nnmtvltnstcn,dga,0.0,3433.75,122.9090909090909,4.9,0.0,0.0,12.0,0.0,0.0
lrvfdhdapunlc,dga,1.8461538461538463,2484.3076923076924,61.166666666666664,1.0909090909090908,0.0,0.0,13.0,0.18181818181818182,0.0
viamkhhhwvddbqj,dga,1.0,1509.5333333333333,44.357142857142854,1.0,0.0,0.0,15.0,0.15384615384615385,0.0
desiderimagazine,legit,36.5625,3822.625,462.73333333333335,45.07142857142857,8.538461538461538,3.3333333333333335,16.0,1.0,0.0
pattayamail,legit,10.909090909090908,3430.4545454545455,258.9,18.333333333333332,1.875,0.0,11.0,0.8333333333333334,0.0
walmart,legit,18.857142857142858,3192.5714285714284,329.3333333333333,27.0,0.75,0.0,7.0,0.4,0.0
oldnavy,legit,16.285714285714285,2763.1428571428573,112.16666666666667,9.8,0.25,0.0,7.0,0.4,0.0
thetruthaboutcars,legit,25.058823529411764,3416.4117647058824,256.9375,20.066666666666666,0.7142857142857143,0.15384615384615385,17.0,0.5454545454545454,0.0
frontpages,legit,27.0,3513.9,434.1111111111111,30.875,3.7142857142857144,0.6666666666666666,10.0,0.42857142857142855,0.0
smooththemes,legit,36.5,3481.5,271.27272727272725,24.2,2.0,1.0,12.0,0.5,0.0
yantbetonpxqtu,dga,8.142857142857142,2935.5,262.9230769230769,11.583333333333334,0.09090909090909091,0.0,14.0,0.4,0.0
govtrack,legit,52.5,2757.5,225.14285714285714,41.5,5.4,0.75,8.0,0.3333333333333333,0.0
phxxnncqgcitfil,dga,8.4,2344.6,113.85714285714286,3.230769230769231,0.0,0.0,15.0,0.15384615384615385,0.0
1k8le0smhotv93pt7c295rr6e,dga,0.0,1925.12,48.25,0.391304347826087,0.0,0.0,25.0,0.13636363636363635,0.4
shnkptvlwjqds,dga,0.0,2063.5384615384614,36.75,0.0,0.0,0.0,13.0,0.0,0.0
vnrehimkbumtox,dga,0.6428571428571429,2545.0714285714284,145.76923076923077,1.1666666666666667,0.0,0.0,14.0,0.4,0.0
chilloutpoint,legit,21.692307692307693,3216.6153846153848,353.0833333333333,33.0,3.9,1.4444444444444444,13.0,0.625,0.0
blomaga,legit,9.857142857142858,2766.285714285714,205.16666666666666,12.0,1.5,0.0,7.0,0.75,0.0
ognaadnuaoaocq,dga,2.357142857142857,3272.5714285714284,70.76923076923077,1.6666666666666667,0.0,0.0,14.0,1.3333333333333333,0.0
cxgtsrwepnysw,dga,0.23076923076923078,2712.230769230769,55.0,0.2727272727272727,0.0,0.0,13.0,0.08333333333333333,0.0
ppiwqwkqnafoj,dga,2.3076923076923075,1754.1538461538462,51.416666666666664,0.9090909090909091,0.0,0.0,13.0,0.3,0.0
rhuylxaratcj,dga,8.75,2638.1666666666665,197.54545454545453,19.0,1.0,0.0,12.0,0.3333333333333333,0.0
col3negoriginal,legit,26.4,3382.866666666667,369.42857142857144,25.53846153846154,3.1666666666666665,1.0909090909090908,15.0,0.6666666666666666,0.06666666666666667
somoeskclxbq,dga,4.25,2519.5,163.1818181818182,3.2,0.1111111111111111,0.0,12.0,0.3333333333333333,0.0
ruyouporn,legit,7.333333333333333,2990.1111111111113,188.375,15.571428571428571,0.3333333333333333,0.0,9.0,0.8,0.0
15vnm95j8e33ht0d75w5rdmgm,dga,0.0,1306.68,10.375,0.0,0.0,0.0,25.0,0.041666666666666664,0.44
skansaka,legit,3.0,3352.5,195.0,12.166666666666666,1.0,0.25,8.0,0.6,0.0
depositphotos,legit,16.384615384615383,3482.6153846153848,232.58333333333334,19.09090909090909,5.5,3.5555555555555554,13.0,0.625,0.0
ballarddesigns,legit,19.714285714285715,3503.9285714285716,376.0769230769231,39.083333333333336,6.454545454545454,2.1,14.0,0.4,0.0
mansioncasino,legit,51.0,3856.3846153846152,527.9166666666666,90.0909090909091,12.0,1.6666666666666667,13.0,0.8571428571428571,0.0
easkvsdejnuzptogelsbizx,dga,9.782608695652174,2811.1304347826085,122.27272727272727,5.571428571428571,0.1,0.0,23.0,0.4375,0.0
uixeknhhhqixhxs,dga,0.0,2101.133333333333,14.571428571428571,0.38461538461538464,0.0,0.0,15.0,0.36363636363636365,0.0
rxdsgfoukknjfbf,dga,0.0,1793.4666666666667,41.142857142857146,0.8461538461538461,0.0,0.0,15.0,0.15384615384615385,0.0
hintyumtpomkh,dga,10.153846153846153,2426.153846153846,257.3333333333333,15.090909090909092,0.2,0.0,13.0,0.3,0.0
fakflmbshdbsiic,dga,0.0,2394.6,103.0,0.5384615384615384,0.0,0.0,15.0,0.25,0.0
jvjdkfyvnlogxy,dga,4.285714285714286,1430.7857142857142,25.846153846153847,1.8333333333333333,0.0,0.0,14.0,0.07692307692307693,0.0
pizzahut,legit,0.0,2275.75,61.857142857142854,0.5,0.0,0.0,8.0,0.6,0.0
treasury,legit,19.875,3820.5,402.0,48.833333333333336,12.0,5.0,8.0,0.6,0.0
cvxrdpycnuwrbfy,dga,0.0,1949.8,19.142857142857142,0.0,0.0,0.0,15.0,0.07142857142857142,0.0
qectrtpxpdpe,dga,0.0,2926.5,158.1818181818182,17.9,1.7777777777777777,0.0,12.0,0.2,0.0
1sc0b591nybaiq1ifd8vcltpwn0,dga,0.1111111111111111,1742.3333333333333,32.38461538461539,0.2,0.0,0.0,27.0,0.125,0.2962962962962963
xtxkkfdxdkyecf,dga,0.0,1600.642857142857,35.07692307692308,0.0,0.0,0.0,14.0,0.07692307692307693,0.0
wangwbxkbdqcfd,dga,1.0714285714285714,1571.357142857143,126.3076923076923,3.9166666666666665,0.0,0.0,14.0,0.07692307692307693,0.0
1cwxnfrovb02iypqbd71hn8okx,dga,3.3461538461538463,1476.7692307692307,28.88,1.6666666666666667,0.043478260869565216,0.0,26.0,0.13043478260869565,0.23076923076923078
geeksquad,legit,1.6666666666666667,3026.777777777778,115.25,7.142857142857143,0.8333333333333334,0.2,9.0,0.8,0.0
tankiforum,legit,19.5,3016.3,257.1111111111111,25.25,1.8571428571428572,0.16666666666666666,10.0,0.6666666666666666,0.0
hlqkwpuonlxmhkg,dga,0.0,1637.2666666666667,88.0,0.3076923076923077,0.0,0.0,15.0,0.15384615384615385,0.0
boatingmag,legit,55.2,3106.2,512.6666666666666,157.5,25.857142857142858,5.5,10.0,0.6666666666666666,0.0
hostingsolutions,legit,144.75,3551.625,549.3333333333334,174.64285714285714,66.84615384615384,16.5,16.0,0.6,0.0
sdogmrpucihk,dga,0.25,2506.0833333333335,53.90909090909091,0.7,0.0,0.0,12.0,0.3333333333333333,0.0
click-me,legit,8.25,2558.625,226.85714285714286,16.666666666666668,1.0,0.5,8.0,0.3333333333333333,0.0
isideonline,legit,13.090909090909092,4258.909090909091,497.5,48.111111111111114,8.75,0.5714285714285714,11.0,1.2,0.0
vellisa,legit,31.714285714285715,3630.1428571428573,360.3333333333333,38.8,4.0,0.0,7.0,0.75,0.0
infoturism,legit,21.3,3384.0,359.3333333333333,26.125,2.2857142857142856,0.16666666666666666,10.0,0.6666666666666666,0.0
guitarbattle,legit,17.25,3631.0,310.27272727272725,21.1,3.3333333333333335,0.875,12.0,0.7142857142857143,0.0
jobsearch,legit,19.0,3037.222222222222,257.125,27.285714285714285,7.166666666666667,3.6,9.0,0.5,0.0
student,legit,35.142857142857146,3886.1428571428573,504.5,101.0,15.0,3.3333333333333335,7.0,0.4,0.0
aefevgmoqdrucit,dga,5.4,2996.133333333333,106.14285714285714,6.153846153846154,0.08333333333333333,0.0,15.0,0.6666666666666666,0.0
markintalk,legit,44.4,3142.3,473.44444444444446,47.625,7.285714285714286,0.5,10.0,0.42857142857142855,0.0
1uqdio215mye4w1fnhwf8wliym0,dga,0.6666666666666666,1476.4814814814815,59.03846153846154,0.24,0.0,0.0,27.0,0.22727272727272727,0.2962962962962963
pdamobiz,legit,2.25,2399.75,95.14285714285714,4.833333333333333,0.4,0.0,8.0,0.6,0.0
inuklocal,legit,34.666666666666664,3030.222222222222,348.125,20.0,2.1666666666666665,0.4,9.0,0.8,0.0
pornbusters,legit,46.63636363636363,3602.0,454.0,85.66666666666667,11.625,1.2857142857142858,11.0,0.375,0.0
medianews,legit,32.666666666666664,3761.1111111111113,392.0,30.0,5.166666666666667,1.6,9.0,0.8,0.0
isvuooxysqoqmpw,dga,0.0,2124.133333333333,61.357142857142854,0.15384615384615385,0.0,0.0,15.0,0.5,0.0
utbrwshhcwqn,dga,0.25,2158.1666666666665,45.18181818181818,0.1,0.0,0.0,12.0,0.09090909090909091,0.0
e0yi172jib638r9269qwyvmu,dga,0.0,1141.875,7.521739130434782,0.0,0.0,0.0,24.0,0.2,0.4583333333333333
siteorigin,legit,18.3,4160.0,524.1111111111111,30.0,2.5714285714285716,1.0,10.0,1.0,0.0
zdvowobubiqrseitoncaxpbug,dga,4.56,2552.68,176.20833333333334,5.434782608695652,0.0,0.0,25.0,0.5625,0.0
botextra,legit,12.0,3505.75,338.42857142857144,35.666666666666664,3.8,1.5,8.0,0.6,0.0
ptyxsmigewtl,dga,1.25,2710.6666666666665,98.0909090909091,1.9,0.0,0.0,12.0,0.2,0.0
sanitair-online,legit,35.2,4014.866666666667,409.57142857142856,34.46153846153846,2.8333333333333335,0.45454545454545453,15.0,0.875,0.0
