domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
severamister,dga,103.0,4214.333333333333,603.8181818181819,91.4,13.0,2.125,12.0,0.7142857142857143,0.0
becauseangry,dga,10.25,3467.8333333333335,347.0,18.2,2.111111111111111,1.125,12.0,0.7142857142857143,0.0
trainbelieve,dga,62.25,4051.5,398.27272727272725,44.3,5.888888888888889,2.5,12.0,1.0,0.0
cigaretteright,dga,31.071428571428573,3835.5714285714284,432.3076923076923,60.666666666666664,11.090909090909092,2.6,14.0,0.5555555555555556,0.0
becamepartial,dga,36.69230769230769,3675.230769230769,377.8333333333333,37.72727272727273,11.0,3.111111111111111,13.0,0.8571428571428571,0.0
cleanbeauty,dga,10.090909090909092,3500.181818181818,276.7,17.333333333333332,2.625,0.8571428571428571,11.0,0.8333333333333334,0.0
sweetbottom,dga,6.2727272727272725,3564.818181818182,158.3,10.11111111111111,1.25,0.42857142857142855,11.0,0.5714285714285714,0.0
simplestream,dga,50.75,3784.6666666666665,467.54545454545456,66.3,11.333333333333334,2.875,12.0,0.5,0.0
nearlyadvance,dga,32.07692307692308,3665.6153846153848,299.9166666666667,39.18181818181818,11.2,2.5555555555555554,13.0,0.625,0.0
anotherquiet,dga,27.5,3744.8333333333335,321.1818181818182,27.8,8.0,2.25,12.0,1.0,0.0
leavebasket,dga,16.636363636363637,3659.2727272727275,242.7,17.11111111111111,1.25,0.5714285714285714,11.0,0.8333333333333334,0.0
promisemovement,dga,126.4,3599.266666666667,389.5,83.46153846153847,21.583333333333332,7.363636363636363,15.0,0.6666666666666666,0.0
againstsoldier,dga,18.428571428571427,3955.6428571428573,434.9230769230769,32.083333333333336,5.818181818181818,1.4,14.0,0.75,0.0
fliersuccess,dga,98.75,3654.3333333333335,402.72727272727275,59.0,9.333333333333334,4.125,12.0,0.5,0.0
experiencefather,dga,58.5,3912.8125,466.1333333333333,60.0,15.384615384615385,4.25,16.0,0.7777777777777778,0.0
trainprobable,dga,50.07692307692308,3562.6923076923076,364.0,56.36363636363637,10.4,2.0,13.0,0.625,0.0
publictrain,dga,54.0,3261.0,415.2,49.22222222222222,10.0,5.0,11.0,0.5714285714285714,0.0
indeedabove,dga,28.636363636363637,3758.3636363636365,434.3,30.88888888888889,2.375,0.5714285714285714,11.0,1.2,0.0
insidedifference,dga,58.3125,3956.25,556.8,61.92857142857143,15.538461538461538,6.166666666666667,16.0,0.7777777777777778,0.0
fifteendesire,dga,24.46153846153846,4150.538461538462,481.6666666666667,35.54545454545455,4.8,0.5555555555555556,13.0,0.8571428571428571,0.0
doubtforget,dga,6.545454545454546,3073.7272727272725,190.1,19.22222222222222,2.5,0.5714285714285714,11.0,0.5714285714285714,0.0
nieceexplain,dga,34.5,3918.6666666666665,355.1818181818182,30.7,5.222222222222222,2.5,12.0,1.0,0.0
appleelectricity,dga,38.4375,3697.1875,335.0,51.5,10.307692307692308,4.0,16.0,0.6,0.0
mayorforest,dga,14.454545454545455,3484.181818181818,454.3,54.55555555555556,7.375,0.8571428571428571,11.0,0.5714285714285714,0.0
chancewoman,dga,62.72727272727273,3212.6363636363635,331.7,51.55555555555556,13.25,2.0,11.0,0.5714285714285714,0.0
completeindeed,dga,61.714285714285715,3858.214285714286,503.2307692307692,51.0,14.454545454545455,4.4,14.0,0.75,0.0
englishfancy,dga,19.5,3117.8333333333335,354.3636363636364,22.9,2.6666666666666665,0.375,12.0,0.3333333333333333,0.0
heartglossary,dga,15.923076923076923,3575.6153846153848,271.9166666666667,28.818181818181817,1.9,0.4444444444444444,13.0,0.4444444444444444,0.0
subjectevery,dga,22.5,3170.9166666666665,360.0,53.0,11.88888888888889,3.875,12.0,0.5,0.0
boarddifficult,dga,8.142857142857142,2864.9285714285716,198.30769230769232,25.416666666666668,7.454545454545454,2.7,14.0,0.5555555555555556,0.0
battleneighbor,dga,9.0,3495.1428571428573,314.7692307692308,26.25,5.454545454545454,2.7,14.0,0.5555555555555556,0.0
animalshare,dga,22.90909090909091,3826.818181818182,422.4,30.444444444444443,4.5,2.142857142857143,11.0,0.8333333333333334,0.0
experienceindeed,dga,44.25,4192.6875,509.1333333333333,58.857142857142854,11.923076923076923,3.5833333333333335,16.0,1.0,0.0
chairnearly,dga,41.45454545454545,3619.7272727272725,277.1,29.555555555555557,4.5,1.4285714285714286,11.0,0.5714285714285714,0.0
shoulderpossible,dga,16.5,3398.4375,305.46666666666664,35.92857142857143,5.846153846153846,2.5,16.0,0.6,0.0
increaseperiod,dga,52.285714285714285,4197.5,538.3846153846154,48.583333333333336,9.818181818181818,3.7,14.0,1.0,0.0
decidedress,dga,40.63636363636363,4086.6363636363635,507.0,64.55555555555556,8.875,2.0,11.0,0.5714285714285714,0.0
electricityattempt,dga,35.333333333333336,3830.0555555555557,368.2352941176471,47.875,11.0,4.285714285714286,18.0,0.5,0.0
fancyseason,dga,19.90909090909091,3604.181818181818,371.2,30.0,3.75,2.0,11.0,0.5714285714285714,0.0
measurewagon,dga,21.0,3585.25,381.27272727272725,28.4,5.888888888888889,3.0,12.0,1.0,0.0
shoulderprepare,dga,32.8,3676.4666666666667,433.7142857142857,41.0,6.833333333333333,2.090909090909091,15.0,0.6666666666666666,0.0
masterbeauty,dga,73.25,3610.9166666666665,402.09090909090907,48.8,7.0,1.75,12.0,0.7142857142857143,0.0
indeedproduce,dga,67.84615384615384,3704.4615384615386,406.5,40.09090909090909,8.1,4.777777777777778,13.0,0.8571428571428571,0.0
heavyneither,dga,33.0,3671.0,323.6363636363636,26.5,7.0,1.125,12.0,0.7142857142857143,0.0
labordaughter,dga,17.76923076923077,3258.3076923076924,336.1666666666667,44.72727272727273,6.0,2.2222222222222223,13.0,0.625,0.0
riddenperfect,dga,51.69230769230769,3803.769230769231,382.25,39.0,4.4,1.0,13.0,0.4444444444444444,0.0
angershoulder,dga,76.38461538461539,3632.6153846153848,506.3333333333333,52.63636363636363,8.7,1.8888888888888888,13.0,0.625,0.0
worthpleasure,dga,33.0,3496.3076923076924,361.4166666666667,47.0,8.0,2.6666666666666665,13.0,0.625,0.0
distantnearly,dga,40.15384615384615,3919.0,430.0,57.54545454545455,11.4,3.5555555555555554,13.0,0.4444444444444444,0.0
stationworth,dga,153.75,3617.4166666666665,537.5454545454545,173.8,88.33333333333333,37.25,12.0,0.5,0.0
demandsurprise,dga,50.357142857142854,3728.714285714286,356.6923076923077,40.666666666666664,7.818181818181818,3.8,14.0,0.5555555555555556,0.0
simplebeside,dga,43.5,3715.75,346.0,36.1,11.11111111111111,4.0,12.0,0.7142857142857143,0.0
countryuntil,dga,29.25,3297.0,425.09090909090907,41.6,9.666666666666666,4.25,12.0,0.5,0.0
buttertrust,dga,87.81818181818181,3685.7272727272725,426.6,58.55555555555556,5.0,1.0,11.0,0.375,0.0
doubtmountain,dga,33.46153846153846,3220.6153846153848,333.8333333333333,35.09090909090909,10.9,3.5555555555555554,13.0,0.8571428571428571,0.0
neighborminute,dga,16.071428571428573,3487.9285714285716,347.53846153846155,31.416666666666668,6.090909090909091,2.8,14.0,0.75,0.0
electricityfifteen,dga,28.5,3838.222222222222,362.11764705882354,40.25,8.4,3.4285714285714284,18.0,0.6363636363636364,0.0
thoughtvalue,dga,16.25,2845.5833333333335,179.8181818181818,23.0,7.333333333333333,2.875,12.0,0.7142857142857143,0.0
eithersingle,dga,41.75,4127.0,536.0,126.2,16.22222222222222,2.625,12.0,0.7142857142857143,0.0
daughterround,dga,43.15384615384615,3297.6153846153848,345.75,57.18181818181818,9.8,3.3333333333333335,13.0,0.625,0.0
strongletter,dga,113.0,4151.666666666667,595.8181818181819,64.2,8.666666666666666,2.625,12.0,0.3333333333333333,0.0
twentydistance,dga,31.5,3762.714285714286,396.0769230769231,86.75,13.909090909090908,4.2,14.0,0.4,0.0
duringdecide,dga,212.25,3568.9166666666665,455.3636363636364,101.9,11.222222222222221,2.125,12.0,0.7142857142857143,0.0
beingoften,dga,4.2,3605.4,483.3333333333333,102.5,1.2857142857142858,0.3333333333333333,10.0,0.6666666666666666,0.0
powerapple,dga,39.0,3286.8,367.22222222222223,38.875,5.428571428571429,0.6666666666666666,10.0,0.6666666666666666,0.0
meetingdevice,dga,44.53846153846154,3870.076923076923,486.9166666666667,95.9090909090909,17.5,1.7777777777777777,13.0,0.8571428571428571,0.0
positionright,dga,147.69230769230768,3567.0,409.9166666666667,129.63636363636363,60.7,9.333333333333334,13.0,0.625,0.0
receivebring,dga,198.75,3801.9166666666665,485.09090909090907,107.8,11.666666666666666,2.5,12.0,0.7142857142857143,0.0
motherlaugh,dga,30.545454545454547,3008.6363636363635,278.7,30.88888888888889,9.5,2.5714285714285716,11.0,0.5714285714285714,0.0
shouldlabor,dga,16.363636363636363,2938.5454545454545,223.3,16.333333333333332,4.375,1.7142857142857142,11.0,0.5714285714285714,0.0
beingflier,dga,10.2,3552.9,489.44444444444446,97.625,1.7142857142857142,0.16666666666666666,10.0,0.6666666666666666,0.0
deviceridden,dga,40.0,3839.5833333333335,467.27272727272725,32.7,3.0,0.75,12.0,0.7142857142857143,0.0
littlegather,dga,49.75,3861.75,410.54545454545456,39.5,10.333333333333334,2.375,12.0,0.5,0.0
dinnereearly,dga,38.5,4193.25,552.5454545454545,45.3,4.0,1.375,12.0,0.7142857142857143,0.0
separateanimal,dga,18.0,4087.8571428571427,489.15384615384613,56.333333333333336,10.181818181818182,2.8,14.0,1.0,0.0
strikebread,dga,41.45454545454545,3799.090909090909,347.2,43.111111111111114,8.625,1.1428571428571428,11.0,0.5714285714285714,0.0
forwardgentle,dga,40.84615384615385,3494.769230769231,350.1666666666667,64.63636363636364,5.1,0.7777777777777778,13.0,0.4444444444444444,0.0
niecegeneral,dga,28.0,4386.0,497.90909090909093,35.2,9.11111111111111,4.625,12.0,1.0,0.0
brownbutter,dga,6.818181818181818,3205.7272727272725,327.9,47.44444444444444,3.625,0.42857142857142855,11.0,0.375,0.0
littlemodern,dga,37.5,3892.4166666666665,367.72727272727275,36.3,3.6666666666666665,1.125,12.0,0.5,0.0
likelygoodbye,dga,13.153846153846153,2836.6923076923076,134.91666666666666,9.181818181818182,1.6,0.5555555555555556,13.0,0.625,0.0
crowdstrength,dga,17.76923076923077,3345.4615384615386,402.6666666666667,29.818181818181817,5.0,3.0,13.0,0.18181818181818182,0.0
receivecondition,dga,118.875,3998.625,566.5333333333333,127.92857142857143,45.38461538461539,7.416666666666667,16.0,1.0,0.0
masternorth,dga,80.18181818181819,3858.7272727272725,487.4,72.0,13.375,3.857142857142857,11.0,0.375,0.0
succeedstill,dga,22.0,3663.5,394.8181818181818,28.4,5.444444444444445,2.875,12.0,0.5,0.0
suddenaround,dga,37.5,3519.9166666666665,365.54545454545456,33.1,6.222222222222222,2.125,12.0,0.7142857142857143,0.0
readyopinion,dga,174.5,3719.25,483.09090909090907,83.4,4.0,1.125,12.0,1.0,0.0
followsucceed,dga,16.846153846153847,3064.923076923077,253.75,22.09090909090909,7.2,3.888888888888889,13.0,0.625,0.0
reportreceive,dga,51.92307692307692,4190.461538461538,428.6666666666667,48.09090909090909,10.5,3.7777777777777777,13.0,0.8571428571428571,0.0
thrownoffice,dga,34.0,3040.0,207.54545454545453,26.7,7.0,2.625,12.0,0.5,0.0
heardcharge,dga,24.0,3511.3636363636365,297.1,41.666666666666664,5.875,1.4285714285714286,11.0,0.5714285714285714,0.0
fortieththose,dga,32.07692307692308,3715.6923076923076,341.5,36.72727272727273,3.1,0.1111111111111111,13.0,0.625,0.0
explainoffice,dga,31.846153846153847,3235.846153846154,313.25,39.45454545454545,9.1,4.0,13.0,0.8571428571428571,0.0
destroyready,dga,29.25,3682.8333333333335,426.1818181818182,54.6,6.333333333333333,1.625,12.0,0.5,0.0
closeclothes,dga,21.0,3643.6666666666665,314.09090909090907,29.9,5.333333333333333,1.5,12.0,0.5,0.0
expecthowever,dga,71.3076923076923,3334.6923076923076,315.5833333333333,54.18181818181818,9.8,2.3333333333333335,13.0,0.625,0.0
founddollar,dga,17.454545454545453,3044.6363636363635,285.9,32.888888888888886,7.5,2.0,11.0,0.5714285714285714,0.0
