domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
000directory,legit,49.75,2758.1666666666665,301.6363636363636,48.8,12.333333333333334,6.125,12.0,0.3333333333333333,0.25
000webhost,legit,4.2,2077.3,130.44444444444446,6.375,0.7142857142857143,0.0,10.0,0.25,0.3
001fans,legit,1.7142857142857142,1948.2857142857142,207.83333333333334,13.6,0.25,0.0,7.0,0.16666666666666666,0.42857142857142855
01-telecharger,legit,19.5,3125.0714285714284,381.2307692307692,32.416666666666664,7.090909090909091,1.1,14.0,0.4,0.14285714285714285
010shangpu,legit,5.6,1931.0,224.11111111111111,14.0,2.0,0.0,10.0,0.25,0.3
011info,legit,7.714285714285714,1882.142857142857,259.6666666666667,6.2,1.0,0.0,7.0,0.4,0.42857142857142855
0126wyt,legit,0.0,837.7142857142857,2.5,0.0,0.0,0.0,7.0,0.0,0.5714285714285714
012global,legit,4.666666666666667,1795.7777777777778,139.375,3.5714285714285716,0.8333333333333334,0.6,9.0,0.2857142857142857,0.3333333333333333
01basma,legit,0.8571428571428571,2214.0,121.83333333333333,7.6,0.25,0.0,7.0,0.4,0.2857142857142857
01webdirectory,legit,18.857142857142858,2893.6428571428573,265.61538461538464,40.666666666666664,10.090909090909092,4.9,14.0,0.4,0.14285714285714285
02022222222,legit,0.0,11.272727272727273,0.1,0.0,0.0,0.0,11.0,0.0,1.0
025tata,legit,26.571428571428573,2480.285714285714,267.0,14.0,0.0,0.0,7.0,0.4,0.42857142857142855
028tuan,legit,7.714285714285714,2123.0,164.0,6.0,0.0,0.0,7.0,0.4,0.42857142857142855
03trade,legit,16.714285714285715,3070.285714285714,281.5,42.0,6.25,2.0,7.0,0.4,0.2857142857142857
04stream,legit,15.0,3098.75,375.57142857142856,47.5,6.8,1.5,8.0,0.3333333333333333,0.25
0594111,legit,0.0,11.428571428571429,0.3333333333333333,0.0,0.0,0.0,7.0,0.0,1.0
0594123,legit,0.0,10.428571428571429,0.0,0.0,0.0,0.0,7.0,0.0,1.0
0594139,legit,0.0,10.428571428571429,0.0,0.0,0.0,0.0,7.0,0.0,1.0
0594666,legit,0.0,7.142857142857143,0.0,0.0,0.0,0.0,7.0,0.0,1.0
0595bbs,legit,0.0,841.1428571428571,9.333333333333334,0.0,0.0,0.0,7.0,0.0,0.5714285714285714
05tz2e9,legit,0.0,1485.7142857142858,0.6666666666666666,0.0,0.0,0.0,7.0,0.16666666666666666,0.5714285714285714
0731fdc,legit,0.0,821.4285714285714,0.6666666666666666,0.0,0.0,0.0,7.0,0.0,0.5714285714285714
0755car,legit,0.0,1616.4285714285713,158.0,5.6,0.0,0.0,7.0,0.16666666666666666,0.5714285714285714
0769auto,legit,5.0,1794.0,80.85714285714286,7.333333333333333,2.0,0.0,8.0,0.6,0.5
0791quanquan,legit,3.0,1789.6666666666667,167.45454545454547,8.4,0.8888888888888888,0.0,12.0,0.5,0.3333333333333333
0800-horoscope,legit,5.357142857142857,2229.1428571428573,199.76923076923077,11.666666666666666,0.8181818181818182,0.3,14.0,0.4,0.2857142857142857
0996tuan,legit,0.0,1858.75,140.85714285714286,5.0,0.0,0.0,8.0,0.3333333333333333,0.5
0n-line,legit,44.142857142857146,3118.8571428571427,381.1666666666667,46.8,7.25,1.0,7.0,0.4,0.14285714285714285
1-resources,legit,8.181818181818182,3399.909090909091,433.2,45.44444444444444,5.375,3.5714285714285716,11.0,0.5714285714285714,0.09090909090909091
1000-annonces,legit,39.23076923076923,2587.076923076923,310.5,29.272727272727273,5.0,0.1111111111111111,13.0,0.3,0.3076923076923077
1000-vouchers,legit,21.23076923076923,1917.4615384615386,216.91666666666666,36.27272727272727,1.9,0.4444444444444444,13.0,0.3,0.3076923076923077
10000startups,legit,7.384615384615385,2250.846153846154,192.25,23.727272727272727,1.8,0.8888888888888888,13.0,0.18181818181818182,0.38461538461538464
10006016,legit,0.0,13.5,0.7142857142857143,0.0,0.0,0.0,8.0,0.0,1.0
